"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_4197_to_4198_1,0.0,52318.34587693271000,[2.464890813133682 0.2464890813133681 0.2464890813133681],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.142565316328344e-009 1.028513063265669e-008 1.028513063265669e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4198_to_4199_1,0.0,25257.19389294499000,[2.23175713308139 0.223175713308139 0.223175713308139],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.07441321431056e-009 1.014882642862112e-008 1.014882642862112e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4201_to_4202_2,0.0,15981.86466830874000,[0.9895989761607427 0.09895989761607425 0.09895989761607425],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.619070092138336e-009 1.123814018427667e-008 1.123814018427667e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4202_to_4212_1,0.0,14994.32633406686000,[0.9585643925057683 0.09585643925057684 0.09585643925057684],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.324513211353137e-009 1.064902642270627e-008 1.064902642270627e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4204_to_4205_1,0.0,1874.588259800104000,[2.857063626877512 0.2857063626877512 0.2857063626877512],[0.004774648292756858 0.001591549430918953 0.001591549430918953],[3.960733848169664e-009 7.921467696339328e-009 7.921467696339328e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4204_to_4206_1,0.0,12258.87132011076000,[1.680110905605635 0.1680110905605635 0.1680110905605635],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.016262586800573e-009 1.003252517360115e-008 1.003252517360115e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4206_to_4207_1,0.0,17162.14766857535000,[1.713621282757157 0.1713621282757156 0.1713621282757156],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[4.319463095298732e-009 8.638926190597465e-009 8.638926190597465e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4207_to_4208_1,0.0,3208.314051996642000,[1.672778752219008 0.1672778752219008 0.1672778752219008],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.093938386411055e-009 8.18787677282211e-009 8.18787677282211e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4208_to_4209_1,0.0,11580.64158145313000,[1.620100721842355 0.1620100721842355 0.1620100721842355],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.109364395102605e-009 8.218728790205209e-009 8.218728790205209e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4209_to_4210_1,0.0,13133.91725217019000,[1.379901781350032 0.1379901781350032 0.1379901781350032],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.775280711372831e-009 1.155056142274566e-008 1.155056142274566e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4210_to_4211_1,0.0,4346.923823781125000,[0.9865700234633129 0.09865700234633128 0.09865700234633128],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.625904751715578e-009 1.125180950343116e-008 1.125180950343116e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4210_to_4213_1,0.0,26799.65554298153000,[1.437612134544992 0.1437612134544992 0.1437612134544992],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.133337012993448e-009 1.02666740259869e-008 1.02666740259869e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4211_to_4212_1,0.0,15667.77900891205000,[1.014471572187091 0.1014471572187091 0.1014471572187091],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.713216410004524e-009 1.142643282000905e-008 1.142643282000905e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4213_to_4215_2,0.0,97857.1848054912000,[0.9475050284230221 0.0947505028423022 0.0947505028423022],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.467565863720637e-009 1.093513172744127e-008 1.093513172744127e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4215_to_4217_1,0.0,82170.69095357309000,[0.967725662978396 0.09677256629783962 0.09677256629783962],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[6.161225465517674e-009 1.232245093103535e-008 1.232245093103535e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4216_to_4218_1,0.0,12226.00789472226000,[0.9893211190564254 0.09893211190564254 0.09893211190564254],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.184462835777193e-009 1.236892567155439e-008 1.236892567155439e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4216_to_4220_1,0.0,29466.76611379891000,[0.7168337981785244 0.07168337981785244 0.07168337981785244],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[8.083280302527277e-009 1.616656060505455e-008 1.616656060505455e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4216_to_4224_1,0.0,30383.02315766168000,[0.9493304428079209 0.09493304428079208 0.09493304428079208],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.730809840553323e-009 1.146161968110665e-008 1.146161968110665e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4217_to_4224_1,0.0,48984.35719517709000,[0.9426348752820717 0.09426348752820717 0.09426348752820717],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.673711458196823e-009 1.134742291639365e-008 1.134742291639365e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4218_to_4219_1,0.0,13951.22506372722000,[2.217570585993612 0.2217570585993612 0.2217570585993612],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.099483688904935e-009 1.019896737780987e-008 1.019896737780987e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4219_to_4220_1,0.0,34392.11832542212000,[2.279367922875701 0.2279367922875701 0.2279367922875701],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.544389049240519e-009 1.108877809848104e-008 1.108877809848104e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4220_to_4221_1,0.0,7497.527404519722000,[0.6335156558497275 0.06335156558497275 0.06335156558497275],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.638495825403634e-009 1.327699165080727e-008 1.327699165080727e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4225_to_4244_1,0.0,677.6395403609279000,[1.363484660841854 0.1363484660841854 0.1363484660841854],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.583844049482645e-008 3.16768809896529e-008 3.16768809896529e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4225_to_4259_1,0.0,428.621216806211000,[0.9774813483668746 0.09774813483668747 0.09774813483668747],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.982690525930767E-8 3.965381051861534E-8 3.965381051861534E-8],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4225_to_4341_1,0.0,677.5567377992575000,[1.317576255866701 0.1317576255866701 0.1317576255866701],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.572054003390528e-008 3.144108006781057e-008 3.144108006781057e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4226_to_4328_1,0.0,3308.330565601336000,[0.657778155168386 0.0657778155168386 0.0657778155168386],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.625769022610092e-008 3.251538045220183e-008 3.251538045220183e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4229_to_4230_3,0.0,2657.388920850567000,[0.8323168039625087 0.08323168039625087 0.08323168039625087],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[7.967048432615386e-009 1.593409686523077e-008 1.593409686523077e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4231_to_4232_1,0.0,2821.775590621224000,[0.8036870144735814 0.08036870144735814 0.08036870144735814],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[6.843520628155633e-009 1.368704125631127e-008 1.368704125631127e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4231_to_4275_1,0.0,5304.990791938193000,[0.3680299420740143 0.03680299420740143 0.03680299420740143],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.794726773291683e-009 1.358945354658337e-008 1.358945354658337e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4232_to_4274_1,0.0,2969.162167502846000,[0.8502510786728721 0.0850251078672872 0.0850251078672872],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.546423344679189e-009 1.509284668935838e-008 1.509284668935838e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4234_to_4235_1,0.0,3381.434440300223000,[0.8096219623542057 0.08096219623542057 0.08096219623542057],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.5101813280005e-009 1.3020362656001e-008 1.3020362656001e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4235_to_4337_1,0.0,3554.234435147539000,[2.480356250495447 0.2480356250495447 0.2480356250495447],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[6.346806708169104e-009 1.269361341633821e-008 1.269361341633821e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4235_to_4382_1,0.0,3738.43700787383000,[1.808521158013258 0.1808521158013258 0.1808521158013258],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.854516488521184e-009 1.570903297704237e-008 1.570903297704237e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4236_to_4237_1,0.0,1252.943109744723000,[0.7567939962084647 0.07567939962084645 0.07567939962084645],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.902749440726595e-008 5.805498881453189e-008 5.805498881453189e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4236_to_4337_1,0.0,3072.015261135042000,[1.542299724033041 0.1542299724033041 0.1542299724033041],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[6.921760825625383e-009 1.384352165125077e-008 1.384352165125077e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4237_to_4240_1,0.0,1738.410150704151000,[0.8636913707703531 0.08636913707703531 0.08636913707703531],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.142348313221027e-008 4.284696626442053e-008 4.284696626442053e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4238_to_4239_1,0.0,551.6924003309414000,[1.134030048513763 0.1134030048513763 0.1134030048513763],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.31679539154781e-008 2.63359078309562e-008 2.63359078309562e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4238_to_4241_1,0.0,2510.224526760471000,[0.8168151196476899 0.081681511964769 0.081681511964769],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[8.024534579802039e-009 1.604906915960408e-008 1.604906915960408e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4239_to_4240_1,0.0,2948.195413761694000,[1.514156150959 0.1514156150959001 0.1514156150959001],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.404710003264279e-009 1.480942000652856e-008 1.480942000652856e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4241_to_4248_1,0.0,1863.923445684267000,[0.785727726993879 0.07857277269938789 0.07857277269938789],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.632544110519833e-009 1.526508822103967e-008 1.526508822103967e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4246_1,0.0,2747.883195413148000,[1.473400040236908 0.1473400040236908 0.1473400040236908],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[2.498019714156376e-008 4.996039428312752e-008 4.996039428312752e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4247_1,0.0,714.3472177942619000,[0.8903301462317675 0.08903301462317674 0.08903301462317674],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[2.05739233595874e-008 4.11478467191748e-008 4.11478467191748e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4249_1,0.0,1520.00150068381000,[1.397947859396661 0.1397947859396661 0.1397947859396661],[0.004774648292756861 0.001591549430918954 0.001591549430918954],[2.497753423056946e-008 4.995506846113893e-008 4.995506846113893e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4331_1,0.0,2886.496035279977000,[1.115023771519442 0.1115023771519442 0.1115023771519442],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[1.267001240800681e-008 2.534002481601363e-008 2.534002481601363e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4335_1,0.0,1400.665449609129000,[0.7430976871425381 0.07430976871425382 0.07430976871425382],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.901836125326534e-009 1.580367225065307e-008 1.580367225065307e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4243_to_4335_2,0.0,1421.064881449295000,[0.7844788504325538 0.07844788504325537 0.07844788504325537],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.562176287704379e-009 1.512435257540876e-008 1.512435257540876e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4244_to_4245_1,0.0,2008.032448353969000,[2.455840802322013 0.2455840802322013 0.2455840802322013],[0.004774648292756862 0.001591549430918953 0.001591549430918953],[7.562233172905259e-009 1.512446634581052e-008 1.512446634581052e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4244_to_4245_2,0.0,1946.678233893797000,[2.476728363485828 0.2476728363485828 0.2476728363485828],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.537144629660475e-009 1.507428925932095e-008 1.507428925932095e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4244_to_4247_1,0.0,4813.93566536312000,[2.195194427200644 0.2195194427200644 0.2195194427200644],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.492027822768757e-008 6.984055645537513e-008 6.984055645537513e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4246_to_4332_1,0.0,1356.762771505017000,[1.550933015128653 0.1550933015128653 0.1550933015128653],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[2.783954890599275e-008 5.56790978119855e-008 5.56790978119855e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4247_to_4335_1,0.0,1403.236868283747000,[0.7973225991495151 0.07973225991495152 0.07973225991495152],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[8.069757210536553e-009 1.613951442107311e-008 1.613951442107311e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_4248_to_4337_1,0.0,3976.582883268396000,[0.896697617236101 0.0896697617236101 0.0896697617236101],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[8.593034225201726e-009 1.718606845040345e-008 1.718606845040345e-008],33333333.33333333,38105.1177665153,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
